title,first_week_audience,first_day_screen,drama,action,comedy,fantasy.SF,advanture,criminal.thrill,traditional,romance,animation,documentary,horror,family,war,etc,series,holiday,actors,director,distributor_value,aud_18,korea,usa,first_day_aud
위자,71044,646,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,21160
극장판소드아트온라인-오디널스케일-,71390,209,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25808
모데카이,71759,553,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,32208
라이언,71801,349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,24052
달빛궁궐,71813,474,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,8349
자백,72186,262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,35353
꾸뻬씨의행복여행,72424,447,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22413
원챈스,72735,607,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,22650
아더우먼,72850,660,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,28514
예수는역사다,73016,402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21655
숀더쉽,73797,524,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,35023
걷기왕,74530,883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,30615
더이퀄라이저,74535,506,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,25501
오마이그랜파,74592,762,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,26648
쓰리썸머나잇,74617,591,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,1,26028
씬시티다크히어로의부활,75839,673,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,1,0,1,29444
터널3D,76056,519,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,31859
시카리오암살자의도시,76497,423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,20563
보이후드,76714,419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16135
미라클벨리에,76954,485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29046
다이노X탐험대,76968,579,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,40226
슈퍼프렌즈,77044,470,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23848
우먼인골드,77231,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29322
분신사바2,77909,430,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,18006
타임패러독스,78548,457,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21963
세인트빈센트,78962,575,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,27209
극장판꼬마버스타요의에이스구출작전,80266,347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15225
베이블레이드버스트갓갓발키리의탄생,83395,211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4376
허큘리스,83521,552,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,23837
최강전사미니특공대영웅의탄생,85463,542,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8551
나의소녀시대,85864,262,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18555
마이펫오지,85985,747,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,26263
더시그널,86596,512,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,31680
바스티유데이,86819,800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,29479
슈퍼빼꼼스파이대작전,86822,622,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37608
7번째아들,87080,695,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,26736
빌리와용감한녀석들3,87174,475,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,17416
한공주,87430,414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25736
포커스,87590,695,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,31640
돌연변이,88215,743,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,28344
극장판또봇로봇군단의습격,88286,282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,7847
사우스포,88833,659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,35275
딥워터호라이즌,89136,858,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,27986
크리미널,89654,681,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,29235
헤이트풀8,90079,312,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,25104
무서운이야기3화성에서온소녀,90659,617,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,1,0,24882
터키,90850,349,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,30813
최강전사미니특공대새로운악당의습격,91691,347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,8996
명탐정코난에피소드원-작아진명탐정,91813,338,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,24690
그녀,91995,317,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,1,0,1,21532
다이노소어어드벤처백악기공룡대백과,92540,541,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,43219
맨프롬UNCLE,93809,668,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,23103
니드포스피드,94473,658,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21233
더기버기억전달자,94998,458,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,26589
공범자들,96148,394,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28522
짱구는못말려극장판폭풍수면!꿈꾸는세계대돌격,96711,636,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,19319
화장,97690,633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,33542
다이버전트시리즈얼리전트,98042,762,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,31300
도희야,98797,612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,31396
루시드드림,99653,920,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,0,2,0,1,0,45864
베리굿걸,100061,674,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,34723
눈길,101265,933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,50085
여교사,102934,752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,39526
더건맨,103791,666,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,32521
"님아,그강을건너지마오",106398,369,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24611
플로렌스,108459,755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,35080
"극장판파워레인저다이노포스VS고버스터즈공룡대결전!~안녕,영원한친구여!~",109338,540,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48547
존윅,110001,633,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,33498
퇴마무녀굴,111449,658,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,1,44853
극장판아이엠스타꿈의오디션!,111710,425,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,31557
내사랑,113274,366,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28935
라스트위치헌터,115093,540,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,49558
워터디바이너,116846,647,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,3,0,0,1,40011
시간위의집,117086,817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,36063
명탐정코난코난실종사건-사상최악의이틀,117762,233,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,20494
맨홀,120410,564,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,0,3,1,0,0,59285
발레리나,120445,642,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20932
가시,121292,672,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,44684
레고배트맨무비,122617,754,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,45269
13시간,124249,727,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,30310
기생수파트1,124430,417,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,36606
극장판도라에몽진구의아프리카모험~베코와5인의탐험대~,124871,327,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,5384
은밀한유혹,124999,779,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,1,3,0,0,1,44653
짱구는못말려극장판나의이사이야기선인장대습격,125446,615,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,32097
나의절친악당들,125467,759,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,3,2,1,1,0,51486
괴물의아이,126746,663,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28774
캐롤,127230,325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,32718
극장판루팡3세VS명탐정코난,129075,438,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,8421
미스컨덕트,129279,802,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,41297
제5침공,129584,583,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,36433
워킹걸,132958,602,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,33792
19곰테드2,133198,569,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,1,0,0,38448
서울역,134917,860,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,53984
그랜드부다페스트호텔,135103,161,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,1,23969
조이,136090,760,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,40227
아빠를빌려드립니다,137681,646,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,37467
글로리데이,138126,862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43018
익스펜더블3,138284,626,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,1,0,39085
론서바이버,139637,570,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,39341
오즈의마법사돌아온도로시,140874,507,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,26925
창문넘어도망친100세노인,141622,520,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29213
비긴어게인,142843,377,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,37848
그레이스오브모나코,143005,658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,36637
비정규직특수요원,143683,915,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,45662
라스트베가스,146186,649,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,43592
천재강아지미스터피바디,146848,664,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,14023
트랜스포터리퓰드,146897,835,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46135
스누피더피너츠무비,147413,671,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,70049
핵소고지,147581,861,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,47437
대배우,148756,928,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,50369
컬러풀웨딩즈,149154,665,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42630
스포트라이트,150281,607,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,38418
더큐어,150516,813,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,50664
매직브러시,152076,794,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78549
50가지그림자심연,152504,843,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,50343
옥자,152840,190,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,49479
빅,153581,655,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,47818
버드맨,156077,708,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,1,45182
더셰프,156680,769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,46200
